"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка добавления товара в корзину","800","checkCart","Cross Browser test","Sat Jun 28 22:09:01 GMT 2025","passed","Sat Jun 28 22:09:02 GMT 2025","tests.CartTest","Chrome","tests.CartTest","checkCart"
"","0","checkErrorIfFirstNameEmpty","Cross Browser test","Sat Jun 28 22:13:16 GMT 2025","skipped","Sat Jun 28 22:13:16 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkErrorIfFirstNameEmpty"
"","1","checkSortingByPriceASC","Cross Browser test","Sat Jun 28 22:13:23 GMT 2025","skipped","Sat Jun 28 22:13:23 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSortingByPriceASC"
"","445","login","Cross Browser test","Sat Jun 28 22:08:58 GMT 2025","passed","Sat Jun 28 22:08:59 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","login"
"","1","checkErrorIfPostalEmpty","Cross Browser test","Sat Jun 28 22:13:17 GMT 2025","skipped","Sat Jun 28 22:13:17 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkErrorIfPostalEmpty"
"","0","sortingTest","Cross Browser test","Sat Jun 28 22:12:26 GMT 2025","skipped","Sat Jun 28 22:12:26 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","sortingTest"
"","1","Открытие браузера","Cross Browser test","Sat Jun 28 22:12:26 GMT 2025","broken","Sat Jun 28 22:12:26 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","setup"
"","402","checkLoginWithEmptyLogin","Cross Browser test","Sat Jun 28 22:09:03 GMT 2025","passed","Sat Jun 28 22:09:03 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyLogin"
"","0","checkCompleteCheckout","Cross Browser test","Sat Jun 28 22:13:19 GMT 2025","skipped","Sat Jun 28 22:13:19 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkCompleteCheckout"
"","0","checkSortingByNameDESC","Cross Browser test","Sat Jun 28 22:13:22 GMT 2025","skipped","Sat Jun 28 22:13:22 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSortingByNameDESC"
"","1","checkIfButtonsAreVisible","Cross Browser test","Sat Jun 28 22:13:13 GMT 2025","skipped","Sat Jun 28 22:13:13 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkIfButtonsAreVisible"
"","0","sortingTest2","Cross Browser test","Sat Jun 28 22:13:10 GMT 2025","skipped","Sat Jun 28 22:13:10 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","sortingTest2"
"","424","checkLoginWithEmptyPassword","Cross Browser test","Sat Jun 28 22:09:04 GMT 2025","passed","Sat Jun 28 22:09:04 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка отображения корректной информации о доставке","0","checkSuccessDeliveryInfo","Cross Browser test","Sat Jun 28 22:13:14 GMT 2025","skipped","Sat Jun 28 22:13:14 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSuccessDeliveryInfo"
"","449","checkLoginInvalidCredentials","Cross Browser test","Sat Jun 28 22:09:02 GMT 2025","passed","Sat Jun 28 22:09:02 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginInvalidCredentials"
"","0","checkSortingByPriceDESC","Cross Browser test","Sat Jun 28 22:13:25 GMT 2025","skipped","Sat Jun 28 22:13:25 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSortingByPriceDESC"
"","821","checkSuccessLogin","Cross Browser test","Sat Jun 28 22:08:59 GMT 2025","passed","Sat Jun 28 22:09:00 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkSuccessLogin"
"","0","sortingTest","Cross Browser test","Sat Jun 28 22:13:08 GMT 2025","skipped","Sat Jun 28 22:13:08 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","sortingTest"
"","962","checkLocator","Cross Browser test","Sat Jun 28 22:09:05 GMT 2025","passed","Sat Jun 28 22:09:06 GMT 2025","tests.LocatorTest","Chrome","tests.LocatorTest","checkLocator"
"","5362","login","Cross Browser test","Sat Jun 28 22:08:52 GMT 2025","passed","Sat Jun 28 22:08:58 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","login"
"","0","sortingTest2","Cross Browser test","Sat Jun 28 22:13:11 GMT 2025","skipped","Sat Jun 28 22:13:11 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","sortingTest2"
"","0","checkSortingByNameASC","Cross Browser test","Sat Jun 28 22:13:20 GMT 2025","skipped","Sat Jun 28 22:13:20 GMT 2025","tests.CheckoutTest","Edge","tests.CheckoutTest","checkSortingByNameASC"
